candidate_id,c_st_ff,c_data_ff,gref_tech,xref_tech,sclamp_tech,data_tech,em_tech,address_us,reset_us,comp_us,source_prep_us,write_us,dead_we_us,functional,score,compression_ratio,source_tracking_gain,vgs_source_sensitivity_pct,hold_droop_60hz_pct,comp_settling_pct,source_prep_settling_pct,write_settling_pct,em_drop_at_300na_mv,total_cap_ff,pareto
V2-17B22274C9,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.05,0.5,8.0,0.25,0.25,0.05,False,-49.44379112564617,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-9F7E52A76A,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.1,0.5,8.0,0.25,0.25,0.1,False,-49.45216075070897,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-BFDBCC11E2,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.3,0.5,8.0,0.25,0.5,0.05,False,-49.48558698981023,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-D30F33D4A3,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.35,0.5,8.0,0.25,0.5,0.1,False,-49.49393050061946,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-0E194D78B5,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.8,0.5,8.0,0.25,1.0,0.05,False,-49.568787900408175,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-BFF14EA6CE,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.85,0.5,8.0,0.25,1.0,0.1,False,-49.57707942689509,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-E85E926DAF,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.3,0.5,8.0,0.5,0.25,0.05,False,-49.48558698981023,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-BC4EC1CD33,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.35,0.5,8.0,0.5,0.25,0.1,False,-49.49393050061946,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-856C0EE5C2,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.55,0.5,8.0,0.5,0.5,0.05,False,-49.5272524457677,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-00B190F0CC,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.6,0.5,8.0,0.5,0.5,0.1,False,-49.53556992380307,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-FD9CCF89D3,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,10.05,0.5,8.0,0.5,1.0,0.05,False,-49.61019375935163,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-799B0B1F56,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,10.1,0.5,8.0,0.5,1.0,0.1,False,-49.618459415262095,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-E4F2BA6D12,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.8,0.5,8.0,1.0,0.25,0.05,False,-49.568787900408175,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-128BF1AD3C,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,9.85,0.5,8.0,1.0,0.25,0.1,False,-49.57707942689509,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-41C7835790,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,10.05,0.5,8.0,1.0,0.5,0.05,False,-49.61019375935163,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
V2-CE5B436DC2,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,10.1,0.5,8.0,1.0,0.5,0.1,False,-49.618459415262095,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,45.0,50,False
