stage,node,constant,vth_coefficient,data_coefficient
COMP,G,2.9999999999999982,1.5559129474213842e-15,0.0
COMP,S,2.9999999999999973,-0.999999999999997,0.0
COMP,X,2.9999999999999982,-0.9999999999999943,0.0
PREP,G,0.022416466939238155,0.9925278443535867,0.0
PREP,S,0.0,7.771561172376096e-16,0.0
PREP,X,0.29310587903566976,-0.09770195967855544,0.0
WRITE,G,0.013574660633486425,0.9954751131221697,0.030165912518853692
WRITE,S,-1.0501654677566689e-17,7.96493146855878e-18,7.502618863011432e-20
WRITE,X,-5.551115123125783e-17,-2.7755575615628914e-17,0.9999999999999999
EMIT,G,1.0061025049870742,0.9954751131221697,0.030165912518853692
EMIT,S,1.0000000000000004,-4.622231866529366e-33,0.0
EMIT,X,0.9022980403214405,-3.4942317671004074e-17,0.9999999999999999
