time_s,vg,vs,vx,vgs,gc,xc,sc,dc,ec
0.000000000000000000e+00,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000062e-09,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000125e-09,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000249e-09,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000498e-09,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000100e-08,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000199e-08,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000399e-08,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000080e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.560000000000000159e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.754999999999999941e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.950000000000000252e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.952000000000000403e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,3.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.955250000000000117e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.956203129999999579e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.759374999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.957871090000000160e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.425781250000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.958332759999999858e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.333447270000000184e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959140689999999885e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.171862790000000043e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959244380000000149e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.151124409999999987e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959451759999999618e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.109647649999999874e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959801860000000113e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.039627049999999997e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959870190000000222e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.025961109999999898e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959918600000000070e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.016279659999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959948619999999912e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.010276639999999837e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959972779999999672e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.005444479999999974e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.959993559999999877e-07,3.000000000000000000e+00,3.474957799999999764e-01,3.474957839999999742e-01,2.652504219999999968e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.001287229999999973e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.960012660000000341e-07,3.000119769999999964e+00,3.476164529999999919e-01,3.476046700000000045e-01,2.652503320000000109e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.997467930000000003e+00,0.000000000000000000e+00,0.000000000000000000e+00
