structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-c47aaf97a9,G-S,R,False,G,False,False,False,4,6,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-47340f1686,G-S,R,False,G,False,False,True,4,7,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-1db8044c47,G-S,R,False,G,False,True,False,5,7,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-ab0ba0bbf2,G-S,R,False,G,False,True,True,6,8,,,,control_groups_gt_5
S3-899b4c600c,G-S,R,False,G,True,False,False,5,6,1.0,-1.0000000000000004,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-242d4af79b,G-S,R,False,G,True,False,True,5,7,1.0,-1.0000000000000004,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-c4d14b47a8,G-S,R,False,G,True,True,False,6,7,,,,control_groups_gt_5
S3-57f709a6ba,G-S,R,False,G,True,True,True,7,8,,,,control_groups_gt_5
S3-3a40606a85,G-S,R,False,S,False,False,False,4,6,,,,DATA_and_VINIT_short_in_WRITE
S3-9d0af699f8,G-S,R,False,S,False,False,True,4,7,,,,DATA_and_VINIT_short_in_WRITE
S3-3b099e3b8b,G-S,R,False,S,False,True,False,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-f351e25a66,G-S,R,False,S,False,True,True,6,8,,,,control_groups_gt_5
S3-548c293775,G-S,R,False,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-df6ffca026,G-S,R,False,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-09f8a7c409,G-S,R,False,S,True,True,False,6,7,,,,control_groups_gt_5
S3-d64edecef4,G-S,R,False,S,True,True,True,7,8,,,,control_groups_gt_5
S3-6cef36f159,G-S,R,False,X,False,False,False,4,6,-1.4895204919483636e-16,2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-bae3b70932,G-S,R,False,X,False,False,True,4,7,-1.4895204919483636e-16,2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-82e4394c1c,G-S,R,False,X,False,True,False,5,7,-1.4895204919483636e-16,2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-acb5b73898,G-S,R,False,X,False,True,True,6,8,,,,control_groups_gt_5
S3-fb81a5471b,G-S,R,False,X,True,False,False,5,6,1.9860273225978255e-17,2.220446049250313e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
S3-b3c806732e,G-S,R,False,X,True,False,True,5,7,1.9860273225978255e-17,2.220446049250313e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
S3-eba4160e24,G-S,R,False,X,True,True,False,6,7,,,,control_groups_gt_5
S3-8fc2b70723,G-S,R,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-26287d629b,G-S,R,True,G,False,False,False,5,6,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-e99decaccb,G-S,R,True,G,False,False,True,5,7,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-c63f221231,G-S,R,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-c9a165e2ae,G-S,R,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-c1c92f5554,G-S,R,True,G,True,False,False,5,6,1.0,-1.0000000000000004,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-edf753024e,G-S,R,True,G,True,False,True,5,7,1.0,-1.0000000000000004,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-a2df60c7d4,G-S,R,True,G,True,True,False,6,7,,,,control_groups_gt_5
S3-543e702588,G-S,R,True,G,True,True,True,7,8,,,,control_groups_gt_5
S3-6491a7ddb9,G-S,R,True,S,False,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-0e7acafc54,G-S,R,True,S,False,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-6d9b107187,G-S,R,True,S,False,True,False,6,7,,,,control_groups_gt_5
S3-1a1d04c6d2,G-S,R,True,S,False,True,True,7,8,,,,control_groups_gt_5
S3-a454dea289,G-S,R,True,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-76838505e1,G-S,R,True,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-fe21ba78fc,G-S,R,True,S,True,True,False,6,7,,,,control_groups_gt_5
S3-4c2659e9b5,G-S,R,True,S,True,True,True,7,8,,,,control_groups_gt_5
S3-391250c639,G-S,R,True,X,False,False,False,5,6,-1.4895204919483636e-16,2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-e236fcfd61,G-S,R,True,X,False,False,True,5,7,-1.4895204919483636e-16,2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-0782d1571d,G-S,R,True,X,False,True,False,6,7,,,,control_groups_gt_5
S3-a6512e3e88,G-S,R,True,X,False,True,True,7,8,,,,control_groups_gt_5
S3-fbcc98c202,G-S,R,True,X,True,False,False,5,6,1.9860273225978255e-17,2.220446049250313e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
S3-7d20dc031d,G-S,R,True,X,True,False,True,5,7,1.9860273225978255e-17,2.220446049250313e-16,4.440892098500626e-16,no_intrinsic_DATA_compression
S3-ea07ed23a5,G-S,R,True,X,True,True,False,6,7,,,,control_groups_gt_5
S3-0fea2d9a66,G-S,R,True,X,True,True,True,7,8,,,,control_groups_gt_5
S3-1423d3b1b9,G-S,S,False,G,False,False,False,4,6,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-d2858c760d,G-S,S,False,G,False,False,True,4,7,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-9b4c4b51e2,G-S,S,False,G,False,True,False,5,7,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-81d38af1e0,G-S,S,False,G,False,True,True,6,8,,,,control_groups_gt_5
S3-fdffdf38de,G-S,S,False,G,True,False,False,5,6,1.0,-1.0000000000000002,-2.220446049250313e-15,no_intrinsic_DATA_compression
S3-5c44b7501a,G-S,S,False,G,True,False,True,5,7,1.0,-1.0000000000000002,-2.220446049250313e-15,no_intrinsic_DATA_compression
S3-1ad2c5fe47,G-S,S,False,G,True,True,False,6,7,,,,control_groups_gt_5
S3-9695052bed,G-S,S,False,G,True,True,True,7,8,,,,control_groups_gt_5
S3-f83b766377,G-S,S,False,S,False,False,False,4,6,,,,DATA_and_VINIT_short_in_WRITE
S3-ca02be2d68,G-S,S,False,S,False,False,True,4,7,,,,DATA_and_VINIT_short_in_WRITE
S3-82c78db607,G-S,S,False,S,False,True,False,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-88eb2e0a32,G-S,S,False,S,False,True,True,6,8,,,,control_groups_gt_5
S3-40efbf3142,G-S,S,False,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-37a43ce708,G-S,S,False,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-3a20c8f6c9,G-S,S,False,S,True,True,False,6,7,,,,control_groups_gt_5
S3-ca25021e5e,G-S,S,False,S,True,True,True,7,8,,,,control_groups_gt_5
S3-8225652c4b,G-S,S,False,X,False,False,False,4,6,-1.4895204919483636e-16,-1.1102230246251565e-15,0.0,no_intrinsic_DATA_compression
S3-38ebe1a90f,G-S,S,False,X,False,False,True,4,7,-1.4895204919483636e-16,-1.1102230246251565e-15,0.0,no_intrinsic_DATA_compression
S3-e02b0b2931,G-S,S,False,X,False,True,False,5,7,-1.4895204919483636e-16,-1.1102230246251565e-15,0.0,no_intrinsic_DATA_compression
S3-ba32a9be63,G-S,S,False,X,False,True,True,6,8,,,,control_groups_gt_5
S3-a35ea9d7f3,G-S,S,False,X,True,False,False,5,6,-1.0572416448026152e-16,-1.1102230246251565e-15,-1.4432899320127035e-15,no_intrinsic_DATA_compression
S3-2d8c40e33a,G-S,S,False,X,True,False,True,5,7,-1.0572416448026152e-16,-1.1102230246251565e-15,-1.4432899320127035e-15,no_intrinsic_DATA_compression
S3-332bd534cc,G-S,S,False,X,True,True,False,6,7,,,,control_groups_gt_5
S3-20afcc7309,G-S,S,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-71fb99d8f9,G-S,S,True,G,False,False,False,5,6,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-efaa24a671,G-S,S,True,G,False,False,True,5,7,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-a6e7928341,G-S,S,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-1cca5a5059,G-S,S,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-850bfeadfc,G-S,S,True,G,True,False,False,5,6,1.0,-1.0000000000000004,-1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-fc010159d8,G-S,S,True,G,True,False,True,5,7,1.0,-1.0000000000000004,-1.1102230246251565e-15,no_intrinsic_DATA_compression
