timing_id,reset_us,comp_us,prep_us,write_us,break_comp_prep_us,break_prep_write_us,break_write_emit_us,address_us
T3-01,0.5,2.0,0.2,0.05,0.02,0.02,0.02,2.81
T3-02,0.5,2.0,0.2,0.05,0.1,0.1,0.1,3.05
T3-03,0.5,2.0,0.2,0.2,0.02,0.02,0.02,2.9600000000000004
T3-04,0.5,2.0,0.2,0.2,0.1,0.1,0.1,3.2
T3-05,0.5,2.0,0.2,1.0,0.02,0.02,0.02,3.7600000000000002
T3-06,0.5,2.0,0.2,1.0,0.1,0.1,0.1,4.0
T3-07,0.5,8.0,0.2,0.05,0.02,0.02,0.02,8.81
T3-08,0.5,8.0,0.2,0.05,0.1,0.1,0.1,9.05
T3-09,0.5,8.0,0.2,0.2,0.02,0.02,0.02,8.959999999999999
T3-10,0.5,8.0,0.2,0.2,0.1,0.1,0.1,9.2
T3-11,0.5,8.0,0.2,1.0,0.02,0.02,0.02,9.76
T3-12,0.5,8.0,0.2,1.0,0.1,0.1,0.1,10.0
T3-13,0.5,32.0,0.2,0.05,0.02,0.02,0.02,32.81
T3-14,0.5,32.0,0.2,0.05,0.1,0.1,0.1,33.05
T3-15,0.5,32.0,0.2,0.2,0.02,0.02,0.02,32.96000000000001
T3-16,0.5,32.0,0.2,0.2,0.1,0.1,0.1,33.2
T3-17,0.5,32.0,0.2,1.0,0.02,0.02,0.02,33.760000000000005
T3-18,0.5,32.0,0.2,1.0,0.1,0.1,0.1,34.0
T3-19,0.5,128.0,0.2,0.05,0.02,0.02,0.02,128.81
T3-20,0.5,128.0,0.2,0.05,0.1,0.1,0.1,129.05
T3-21,0.5,128.0,0.2,0.2,0.02,0.02,0.02,128.95999999999998
T3-22,0.5,128.0,0.2,0.2,0.1,0.1,0.1,129.2
T3-23,0.5,128.0,0.2,1.0,0.02,0.02,0.02,129.76
T3-24,0.5,128.0,0.2,1.0,0.1,0.1,0.1,130.0
