candidate_id,structure_id,c1_ff,c2_ff,kappa,abs_vth_residual,source_sensitivity,ideal_vth_residual,total_cap_ff,transistors,control_groups,isolate_drain,track_prep,pareto,reference_timing,reference_mix,program_error_mv,hold_delta_vgs_mv
P3-196fd81247,S3-fd65244088,640.0,20.0,0.030165912518853692,0.004524886877830259,0.0074721556464127925,-7.771561172376096e-16,660.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,12.129420659406101,-1.2729851575223883
P3-09ab49edb4,S3-fd65244088,640.0,40.0,0.0585651537335285,0.004392386530015169,0.007605405006276378,-6.661338147750939e-16,680.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,12.020724089958328,-1.4332820812801295
P3-9d6921b59c,S3-fd65244088,640.0,80.0,0.11065006915629345,0.004149377593361425,0.0076768899141552716,0.0,720.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,10.359257587653603,-1.534061024345057
P3-3d8eed56d6,S3-fd65244088,640.0,160.0,0.19925280199252804,0.0037359900373598043,0.007713952108415079,-5.551115123125783e-16,800.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,-10.592311732704196,-1.530286911196832
P3-0424d5b3c3,S3-fd65244088,640.0,320.0,0.3322949117341641,0.0031152647975082326,0.007732827441426338,-1.1102230246251565e-16,960.0,6,4,False,False,True,T3-21,IGZO/IGZO/IGZO/IGZO/LTPS,12.64769224227802,-1.7807791275217255
P3-7ecd5f7d99,S3-fd65244088,640.0,640.0,0.4988308651597817,0.002338269680436156,0.0077423530377751515,2.220446049250313e-16,1280.0,6,4,False,False,True,T3-21,IGZO/IGZO/IGZO/IGZO/LTPS,5.006316098725594,-1.8947399299569234
P3-84fe3862bf,S3-fd65244088,320.0,20.0,0.05830903790087471,0.008746355685131157,0.014833473271760766,-6.661338147750939e-16,340.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,8.250194725699615,-2.5523854134199553
P3-24654949ad,S3-fd65244088,320.0,40.0,0.1101928374655646,0.00826446280991755,0.015095998827494905,0.0,360.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,7.311436663295479,-2.9038319707912486
P3-306acce247,S3-fd65244088,320.0,80.0,0.19851116625310192,0.007444168734490386,0.015236808526607692,-5.551115123125783e-16,400.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,4.2497314165074185,-3.1685814985227267
P3-685a0471fd,S3-fd65244088,320.0,160.0,0.33126293995859235,0.006211180124224169,0.015309805113399522,-1.1102230246251565e-16,480.0,6,4,False,False,True,T3-13,IGZO/IGZO/IGZO/IGZO/LTPS,4.470002302403742,-3.3293917446846066
